12154    03,26,27,31,32|03,09    2012-12-31
12153    08,09,10,13,22|05,10    2012-12-29
12152    04,17,26,33,34|02,08    2012-12-26
12151    03,19,20,24,33|03,04    2012-12-24
12150    02,14,18,24,31|02,03    2012-12-22
12149    02,10,23,33,34|05,10    2012-12-19
12148    04,16,27,29,34|06,11    2012-12-17
12147    02,03,17,19,33|02,09    2012-12-15
12146    01,10,13,17,26|06,08    2012-12-12
12145    05,22,31,33,35|06,09    2012-12-10
12144    11,13,14,21,29|01,10    2012-12-08
12143    09,27,29,30,31|03,06    2012-12-05
12142    15,19,29,34,35|07,10    2012-12-03
12141    03,11,19,23,34|02,12    2012-12-01
12140    07,17,27,28,29|09,10    2012-11-28
12139    09,10,12,22,25|04,11    2012-11-26
12138    13,17,27,31,33|06,12    2012-11-24
12137    03,12,20,21,27|01,06    2012-11-21
12136    02,23,29,30,31|01,04    2012-11-19
12135    03,05,17,18,33|06,07    2012-11-17
12134    01,06,18,32,35|02,07    2012-11-14
12133    05,07,13,29,30|01,05    2012-11-12
12132    05,08,21,25,33|01,11    2012-11-10
12131    02,16,18,27,30|08,12    2012-11-07
12130    14,19,23,29,30|06,07    2012-11-05
12129    01,07,21,28,31|03,09    2012-11-03
12128    09,10,19,30,31|04,11    2012-10-31
12127    12,13,14,25,35|10,12    2012-10-29
12126    13,14,21,28,29|05,10    2012-10-27
12125    06,14,17,22,35|01,02    2012-10-24
12124    07,11,19,20,35|05,10    2012-10-22
12123    05,08,18,30,33|01,09    2012-10-20
12122    23,24,25,29,31|03,12    2012-10-17
12121    07,18,20,29,30|05,06    2012-10-15
12120    02,10,21,23,29|03,04    2012-10-13
12119    05,06,09,19,32|06,09    2012-10-10
12118    05,17,25,30,33|01,12    2012-10-08
12117    01,12,18,21,33|07,08    2012-10-06
12116    01,11,18,20,22|07,10    2012-10-03
12115    01,06,13,19,23|06,09    2012-10-01
12114    03,06,21,33,35|01,07    2012-09-29
12113    03,10,22,27,29|03,12    2012-09-26
12112    01,02,28,31,35|05,07    2012-09-24
12111    01,24,25,30,33|04,11    2012-09-22
12110    01,11,17,19,26|05,12    2012-09-19
12109    01,22,30,32,35|09,11    2012-09-17
12108    06,07,12,24,35|02,06    2012-09-15
12107    04,07,09,22,33|01,03    2012-09-12
12106    15,23,25,29,31|09,10    2012-09-10
12105    05,06,14,15,31|06,08    2012-09-08
12104    16,18,24,25,27|04,09    2012-09-05
12103    02,09,18,23,24|01,04    2012-09-03
12102    02,04,06,13,35|04,08    2012-09-01
12101    02,05,08,09,31|03,07    2012-08-29
12100    07,09,13,19,27|01,03    2012-08-27
12099    12,18,24,25,32|02,12    2012-08-25
12098    02,11,28,29,30|06,12    2012-08-22
12097    09,17,24,29,32|01,02    2012-08-20
12096    05,10,19,24,35|08,09    2012-08-18
12095    06,09,22,27,30|08,12    2012-08-15
12094    02,14,23,32,35|01,10    2012-08-13
12093    02,16,21,31,33|04,11    2012-08-11
12092    08,09,23,25,31|02,12    2012-08-08
12091    03,10,28,31,33|01,09    2012-08-06
12090    02,21,27,29,33|02,10    2012-08-04
12089    06,12,21,29,32|06,11    2012-08-01
12088    13,17,24,30,35|02,10    2012-07-30
12087    01,06,07,21,31|04,11    2012-07-28
12086    03,20,25,29,32|05,10    2012-07-25
12085    07,18,29,31,33|10,12    2012-07-23
12084    21,24,27,29,31|01,02    2012-07-21
12083    16,19,28,29,31|05,08    2012-07-18
12082    02,04,09,10,15|08,10    2012-07-16
12081    10,16,17,30,35|01,08    2012-07-14
12080    11,12,14,25,28|02,05    2012-07-11
12079    01,05,25,32,33|01,10    2012-07-09
12078    01,02,23,25,35|05,12    2012-07-07
12077    10,30,32,33,34|02,03    2012-07-04
12076    02,14,16,22,24|02,05    2012-07-02
12075    07,09,10,18,22|05,10    2012-06-30
12074    10,22,23,30,32|01,07    2012-06-27
12073    18,23,29,33,34|02,07    2012-06-25
12072    04,08,17,22,25|04,10    2012-06-23
12071    13,23,29,31,34|06,08    2012-06-20
12070    09,22,23,32,34|06,08    2012-06-18
12069    02,04,22,25,34|02,11    2012-06-16
12068    01,21,31,32,35|03,06    2012-06-13
12067    20,22,27,30,33|01,02    2012-06-11
12066    01,20,25,29,33|04,06    2012-06-09
12065    10,22,28,29,34|05,11    2012-06-06
12064    09,12,13,15,30|09,10    2012-06-04
12063    11,25,26,29,35|01,02    2012-06-02
12062    21,32,33,34,35|08,09    2012-05-30
12061    05,10,14,27,33|07,09    2012-05-28
12060    02,16,21,24,30|06,10    2012-05-26
12059    09,13,19,21,27|03,04    2012-05-23
12058    13,21,29,31,35|04,12    2012-05-21
12057    01,02,14,33,34|03,05    2012-05-19
12056    11,21,23,26,34|07,09    2012-05-16
12055    07,22,26,32,33|01,08    2012-05-14
12054    01,16,18,27,30|10,11    2012-05-12
12053    11,12,26,28,31|07,12    2012-05-09
12052    10,20,26,31,33|10,12    2012-05-07
12051    01,02,17,18,33|05,12    2012-05-05
12050    13,17,22,28,29|01,10    2012-05-02
12049    09,18,22,27,31|10,12    2012-04-30
12048    06,09,26,30,35|05,06    2012-04-28
12047    05,07,17,30,34|03,10    2012-04-25
12046    04,08,19,23,27|04,11    2012-04-23
12045    05,11,17,20,28|11,12    2012-04-21
12044    03,04,14,32,35|01,02    2012-04-18
12043    01,06,25,31,34|03,09    2012-04-16
12042    07,24,27,28,35|07,12    2012-04-14
12041    01,02,13,22,23|02,10    2012-04-11
12040    02,13,23,28,29|01,05    2012-04-09
12039    15,21,22,24,35|01,05    2012-04-07
12038    11,23,25,31,35|01,03    2012-04-04
12037    09,13,27,31,35|03,10    2012-04-02
12036    01,09,20,30,31|08,12    2012-03-31
12035    01,04,30,32,35|08,12    2012-03-28
12034    01,08,15,16,29|08,09    2012-03-26
12033    08,13,19,27,32|01,08    2012-03-24
12032    07,08,16,26,34|07,11    2012-03-21
12031    19,21,23,25,30|03,08    2012-03-19
12030    03,21,22,26,32|01,03    2012-03-17
12029    04,07,08,18,29|07,10    2012-03-14
12028    10,12,15,33,34|03,10    2012-03-12
12027    03,10,11,22,31|05,07    2012-03-10
12026    10,11,22,23,29|02,09    2012-03-07
12025    01,02,05,12,27|04,07    2012-03-05
12024    03,11,17,21,30|03,07    2012-03-03
12023    07,09,17,29,35|09,10    2012-02-29
12022    07,12,20,33,35|01,10    2012-02-27
12021    10,15,21,31,34|07,08    2012-02-25
12020    12,14,27,29,34|03,06    2012-02-22
12019    07,09,17,30,34|01,12    2012-02-20
12018    03,10,14,29,31|04,08    2012-02-18
12017    06,11,22,29,34|03,12    2012-02-15
12016    05,14,20,29,31|08,12    2012-02-13
12015    12,13,24,26,33|06,08    2012-02-11
12014    10,14,24,30,32|01,12    2012-02-08
12013    07,08,11,12,24|01,02    2012-02-06
12012    06,18,22,30,35|02,07    2012-02-04
