15101    06,12,17,18,32|07,12    2015-08-31
15100    09,15,18,23,32|05,07    2015-08-29
15099    09,12,14,22,25|05,10    2015-08-26
15098    09,14,21,27,33|06,09    2015-08-24
15097    04,16,17,26,27|01,04    2015-08-22
15096    03,09,12,18,21|02,06    2015-08-19
15095    08,14,26,34,35|05,10    2015-08-17
15094    02,03,10,11,29|03,07    2015-08-15
15093    16,17,25,26,27|02,04    2015-08-12
15092    02,14,21,27,34|05,08    2015-08-10
15091    02,07,28,29,30|03,07    2015-08-08
15090    06,09,11,17,21|06,08    2015-08-05
15089    05,12,18,20,27|10,12    2015-08-03
15088    05,15,28,31,34|11,12    2015-08-01
15087    02,05,15,17,22|01,11    2015-07-29
15086    05,09,11,15,32|04,09    2015-07-27
15085    02,03,04,06,16|03,12    2015-07-25
15084    10,20,21,32,34|06,07    2015-07-22
15083    14,16,19,25,29|10,12    2015-07-20
15082    08,15,28,31,33|03,06    2015-07-18
15081    03,04,10,13,17|05,09    2015-07-15
15080    14,20,29,30,32|03,08    2015-07-13
15079    01,09,17,23,24|04,05    2015-07-11
15078    19,24,26,28,33|01,02    2015-07-08
15077    01,16,17,22,28|02,09    2015-07-06
15076    03,19,21,31,34|05,12    2015-07-04
15075    13,14,26,27,33|10,12    2015-07-01
15074    01,12,21,27,33|04,09    2015-06-29
15073    09,26,27,30,34|01,06    2015-06-27
15072    19,20,21,31,33|09,10    2015-06-24
15071    04,06,13,16,34|04,10    2015-06-22
15070    03,09,12,17,18|04,12    2015-06-20
15069    02,09,11,22,25|01,07    2015-06-17
15068    02,03,20,31,35|04,08    2015-06-15
15067    04,10,18,24,27|04,11    2015-06-13
15066    01,03,07,13,29|02,10    2015-06-10
15065    04,05,07,13,35|08,11    2015-06-08
15064    02,08,20,28,31|07,10    2015-06-06
15063    01,04,06,34,35|02,04    2015-06-03
15062    06,07,13,14,15|01,04    2015-06-01
15061    06,07,08,16,22|02,10    2015-05-30
15060    16,24,25,26,33|04,11    2015-05-27
15059    07,09,19,23,32|01,03    2015-05-25
15058    10,14,20,27,30|07,12    2015-05-23
15057    01,05,07,14,26|04,06    2015-05-20
15056    06,12,19,26,35|03,10    2015-05-18
15055    06,11,14,20,30|05,10    2015-05-16
15054    02,09,15,24,34|03,09    2015-05-13
15053    08,25,28,29,32|04,07    2015-05-11
15052    13,19,24,27,29|07,08    2015-05-09
15051    01,02,11,16,21|01,05    2015-05-06
15050    06,07,10,20,28|02,07    2015-05-04
15049    08,09,11,15,22|08,10    2015-05-02
15048    10,11,22,24,33|02,09    2015-04-29
15047    01,02,17,23,31|05,12    2015-04-27
15046    05,07,10,22,26|04,10    2015-04-25
15045    08,09,22,29,30|08,12    2015-04-22
15044    16,18,27,31,33|01,03    2015-04-20
15043    02,20,22,25,29|02,07    2015-04-18
15042    03,07,12,17,24|02,11    2015-04-15
15041    01,11,21,23,28|01,10    2015-04-13
15040    02,09,10,23,35|09,12    2015-04-11
15039    03,06,07,16,25|01,06    2015-04-08
15038    12,19,22,31,35|07,08    2015-04-06
15037    10,16,21,28,31|07,08    2015-04-04
15036    14,18,20,23,24|04,08    2015-04-01
15035    22,24,29,30,35|01,10    2015-03-30
15034    04,08,15,18,26|05,09    2015-03-28
15033    03,17,22,26,28|03,07    2015-03-25
15032    06,21,25,27,30|07,11    2015-03-23
15031    07,21,29,32,33|04,12    2015-03-21
15030    09,18,19,26,31|02,05    2015-03-18
15029    07,10,19,30,35|03,05    2015-03-16
15028    03,09,28,32,33|09,10    2015-03-14
15027    05,21,22,25,28|03,10    2015-03-11
15026    11,13,14,15,22|02,08    2015-03-09
15025    07,10,20,22,27|10,11    2015-03-07
15024    02,06,08,16,34|03,04    2015-03-04
15023    06,09,11,12,22|03,11    2015-03-02
15022    09,11,14,15,26|11,12    2015-02-28
15021    22,23,24,26,31|05,06    2015-02-25
15020    11,26,28,29,32|01,04    2015-02-16
15019    02,08,16,22,24|01,03    2015-02-14
15018    04,07,10,23,31|03,07    2015-02-11
15017    07,13,16,17,29|01,07    2015-02-09
15016    06,07,16,20,34|09,11    2015-02-07
15015    01,05,13,17,32|04,11    2015-02-04
15014    08,16,25,29,35|03,10    2015-02-02
15013    11,15,25,28,35|07,10    2015-01-31
15012    03,04,06,11,31|05,09    2015-01-28
15011    04,13,22,25,30|01,06    2015-01-26
15010    02,06,17,30,35|02,07    2015-01-24
15009    17,22,26,27,33|06,10    2015-01-21
15008    07,10,11,15,17|03,10    2015-01-19
15007    02,07,08,14,31|04,08    2015-01-17
15006    06,08,30,32,33|03,07    2015-01-14
15005    11,14,15,18,19|07,08    2015-01-12
15004    03,12,14,18,28|05,06    2015-01-10
15003    12,19,27,28,34|01,12    2015-01-07
15002    03,14,20,26,32|06,10    2015-01-05
15001    08,09,19,27,30|06,07    2015-01-03
